Work Item Type,Title,Description,Priority,Severity,Tags,State,Effort,Area Path
Product Backlog Item,[SECURITY] Passwords stored and compared in plain text,"Passwords are stored and compared in plain text without any hashing. In LoginAuthPostEndpoint.cs, login does direct comparison ""loginValue.password == user.Password"". In PersonAddEndpoint.cs, EmployeeAddNewEndpoint.cs, AdminPanelEndpoints.cs (AddUser, AddEmployee), and ProfileSettingsEditEndpoint.cs, the password is saved as entered. The Person.cs model holds Password as a plain string. Fix: Use one-way hashing before storing passwords (e.g., BCrypt, Argon2id, or built-in ASP.NET Core PasswordHasher<T>). During login, compare the hash of the entered password with the stored hash. Never store or compare passwords in their original form. Files: LoginAuthPostEndpoint.cs, PersonAddEndpoint.cs, EmployeeAddNewEndpoint.cs, AdminPanelEndpoints.cs, ProfileSettingsEditEndpoint.cs, Person.cs",1,1 - Critical,Security;Backend;Mandatory,New,8,VetStation
Product Backlog Item,[SECURITY] API returns passwords to client in responses,"In ProfileGetUserInfoEndpoint.cs, Password is mapped to the response object (ProfileGetUserInfoResponse), meaning every call to api/ProfileEndpoint/GetUserInfo/{token} sends the plain text password to the frontend. PersonGetAllEndpoint.cs returns complete Person objects without projection, and since the model has no [JsonIgnore] on Password, it gets serialized. Fix: Create separate DTO objects for each response that never contain a password field. Add [JsonIgnore] on Password property as additional protection. Files: ProfileGetUserInfoEndpoint.cs, PersonGetAllEndpoint.cs, Person.cs",1,1 - Critical,Security;Backend;Mandatory,New,5,VetStation
Product Backlog Item,[SECURITY] No ASP.NET authentication pipeline configured,"Program.cs calls UseAuthorization() but has no UseAuthentication(), no registered JWT or Cookie scheme, no [Authorize] attributes or policy-based authorization. Security relies on manual _authService.IsLogged() calls scattered across some endpoints, while many endpoints have no protection at all. Fix: Implement JWT Bearer authentication (or cookie-based), register the scheme in Program.cs, add UseAuthentication() before UseAuthorization(), and protect endpoints with [Authorize]. Public endpoints (login, registration) should be marked with [AllowAnonymous]. Files: Program.cs, all endpoint files",1,1 - Critical,Security;Backend;Mandatory,New,13,VetStation
Product Backlog Item,[SECURITY] Write endpoints publicly accessible without authentication,"The following endpoints allow anonymous users to create, modify, and delete data: RoleController (POST/DELETE), VetController (POST/PUT/DELETE), InventoryController (POST/PUT/DELETE), AdminController (POST/PUT/DELETE — anyone can create an admin), NurseController, BarberController, CategoryController, ProductController, FAQController, SpeciesController, SubCategoryController, all controllers in Controllers/ folder. Also: AppointmentAddEndpoint, AppointmentCancelEndpoint, AppointmentRescheduleEndpoint, AvailabilityAddEndpoint/Edit/Delete, EmployeeAddNewEndpoint, AnimalGetByOwnerIdEndpoint, PersonGetAllEndpoint. Fix: Every data-modifying endpoint must require authentication, and administrative operations must have role checks (RBAC). Files: All controllers and unprotected endpoints",1,1 - Critical,Security;Backend;Mandatory,New,8,VetStation
Product Backlog Item,[SECURITY] 2FA verification bypassed — login succeeds without verification,"In LoginAuthPostEndpoint.cs HandleAsync method, when the system detects an unverified user (!userProfile.verified), it generates a verification token, sends an email, but does NOT stop execution (no return statement). Code continues, creates a valid AuthentificationToken and returns it. Unverified users get a fully functional token. Fix: Inside the if (!userProfile.verified) block, after sending the email, immediately return an appropriate response (e.g., Unauthorized) and never issue a session token to an unverified user. Files: LoginAuthPostEndpoint.cs",1,1 - Critical,Security;Backend;Mandatory,New,3,VetStation
Product Backlog Item,[SECURITY] Profile endpoint allows reading other users' profiles (IDOR),"ProfileGetUserInfoEndpoint.cs accepts a token from the URL (GetUserInfo/{token}), checks only if the caller is logged in (via header token), then loads another user's profile based on the URL token. If a logged-in user knows or guesses another's token, they can retrieve the complete profile including the password. Fix: The endpoint should always return the profile of the currently logged-in user based on the authentication header token, not based on a URL parameter. Files: ProfileGetUserInfoEndpoint.cs",1,1 - Critical,Security;Backend;Mandatory,New,3,VetStation
Product Backlog Item,[SECURITY] Pet endpoints have IDOR — any user can manipulate others' pets,"PetsGetByIdEndpoint.cs returns pet data without ownership check. PetsSoftDeleteEndpoint.cs and PetsRestoreEndpoint.cs allow delete/restore of any pet by ID with only IsLogged() check. PetsUpdateOrInsertEndpoint.cs loads animal by request.Id without ownership verification. PetsReportEndpoint.cs accepts OwnerId from query string and generates PDF for any owner. Fix: On every resource access, verify that the current user (extracted from token) owns the resource. Example: add WHERE Id = @petId AND OwnerId = @currentUserId. Files: PetsGetByIdEndpoint.cs, PetsSoftDeleteEndpoint.cs, PetsRestoreEndpoint.cs, PetsUpdateOrInsertEndpoint.cs, PetsReportEndpoint.cs",1,1 - Critical,Security;Backend;Mandatory,New,5,VetStation
Product Backlog Item,[SECURITY] Employee endpoints missing role checks (RBAC),"EmployeeEditEndpoint.cs and EmployeeDeleteEndpoint.cs only check IsLogged() — no role verification. Any registered user (pet owner) can modify employee data including RoleId (privilege escalation) or soft-delete any employee. Fix: Implement role checks so only users with appropriate roles (e.g., admin or head vet) can perform operations on employees. Files: EmployeeEditEndpoint.cs, EmployeeDeleteEndpoint.cs",1,1 - Critical,Security;Backend;Mandatory,New,3,VetStation
Product Backlog Item,[SECURITY] AnimalGetByOwnerIdEndpoint is a public data enumerator,Returns animals for any arbitrary ownerId without authentication. An attacker can iterate through IDs and collect data about all animals and their owners. Fix: Require authentication and restrict queries to animals belonging to the currently logged-in user. Files: AnimalGetByOwnerIdEndpoint.cs,1,2 - High,Security;Backend;Mandatory,New,2,VetStation
Product Backlog Item,[SECURITY] Logout sends token in URL and lacks proper authorization,"LoginAuthDeleteEndpoint.cs uses route DELETE api/LoginAuth/Delete/{token} without checking if the token belongs to the logged-in user. Token in URL ends up in server logs, browser history, reverse proxy logs, and referer headers. Anyone who knows a token can terminate another's session. If token doesn't exist in DB, NullReferenceException occurs. Fix: Logout should operate on the current session identified from header/cookie, not from a URL token. Files: LoginAuthDeleteEndpoint.cs",1,2 - High,Security;Backend;Mandatory,New,3,VetStation
